op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
TRANSPOSE,570,76544.0,0.0,0.0,0.0,0.0,0.3364876,-12,add_normalization_2/layer_normalization_2/FusedBatchNormV3
MEAN,574,299.0,0.000944936,1.297441e-05,0.0015885608,9.3576966e-07,0.0026318913,58,add_normalization_2/layer_normalization_2/FusedBatchNormV31
SQUARED_DIFFERENCE,578,76544.0,2.1549983,-0.41855296,4.3785195,4.82168,8.625846,-128,add_normalization_2/layer_normalization_2/FusedBatchNormV32
MEAN,582,299.0,0.19812295,0.021955008,0.36290857,0.039892565,0.6873014,-128,add_normalization_2/layer_normalization_2/FusedBatchNormV33
ADD,586,299.0,8.753469e-05,-0.0009112901,0.0009991189,8.3875005e-07,0.68730533,-128,add_normalization_2/layer_normalization_2/FusedBatchNormV34
RSQRT,590,299.0,0.020512505,-inf,inf,inf,0.0038663398,-128,add_normalization_2/layer_normalization_2/FusedBatchNormV35
MUL,594,299.0,0.0,0.0,0.0,0.0,0.0038663398,-128,add_normalization_2/layer_normalization_2/FusedBatchNormV36
MUL,598,76544.0,0.011235619,1.6793674e-06,0.15454508,0.00012626436,0.039329883,-5,add_normalization_2/layer_normalization_2/FusedBatchNormV37
MUL,602,299.0,0.00016342306,2.2117379e-06,0.00038963923,2.7917494e-08,0.0005633547,2,add_normalization_2/layer_normalization_2/FusedBatchNormV38
SUB,606,299.0,8.471149e-10,-3.0704447e-10,4.119852e-09,8.3320295e-19,0.0005633547,-3,add_normalization_2/layer_normalization_2/FusedBatchNormV39
ADD,610,76544.0,0.010627497,-0.00043388162,0.023220288,0.0001151019,0.039281905,-5,add_normalization_2/layer_normalization_2/FusedBatchNormV310
TRANSPOSE,614,76544.0,0.0,0.0,0.0,0.0,0.039281905,-5,add_normalization_2/layer_normalization_2/FusedBatchNormV311
RESHAPE,618,76544.0,0.0,0.0,0.0,0.0,0.039281905,-5,add_normalization_2/layer_normalization_2/Reshape_1
MUL,622,76544.0,0.010568319,2.02384e-05,0.07652432,0.000111694404,0.03945751,-3,add_normalization_2/layer_normalization_2/mul_3
ADD,626,76544.0,0.011453692,-0.00057670154,0.020113744,0.00013152236,0.039515883,-3,add_normalization_2/layer_normalization_2/add
RESHAPE,637,76544.0,0.0,0.0,0.0,0.0,0.039515883,-3,multi_headed_attention_1/dense_6/Tensordot/Reshape
FULLY_CONNECTED,641,38272.0,0.029249115,-0.00013870298,0.12056299,0.0008555868,0.09589295,-1,multi_headed_attention_1/dense_6/Tensordot/MatMul1
RESHAPE,645,38272.0,0.0,0.0,0.0,0.0,0.09589295,-1,multi_headed_attention_1/dense_6/Tensordot
ADD,649,38272.0,0.025284618,0.0011939124,0.052079376,0.0006407592,0.09596754,-2,multi_headed_attention_1/dense_6/BiasAdd
RESHAPE,656,38272.0,0.0,0.0,0.0,0.0,0.09596754,-2,multi_headed_attention_1/Reshape
TRANSPOSE,660,38272.0,0.0,0.0,0.0,0.0,0.09596754,-2,multi_headed_attention_1/transpose
