TS,V,I1,W1,VA1,I2,W2,VA2
1645753066.95,120.99,13.922,1676.0,1684.0,1.23,122.0,149.0
1645753067.05,121.0,13.821,1664.0,1672.0,1.222,121.0,148.0
1645753067.15,121.0,13.866,1670.0,1678.0,1.231,123.0,149.0
1645753067.25,121.17,13.859,1671.0,1679.0,1.216,122.0,147.0
1645753067.35,120.97,13.993,1684.0,1693.0,1.23,122.0,149.0
1645753067.45,121.0,13.797,1661.0,1669.0,1.222,122.0,148.0
1645753067.55,120.98,13.904,1674.0,1682.0,1.229,123.0,149.0
1645753067.65,120.99,13.853,1668.0,1676.0,1.219,122.0,147.0
1645753067.75,120.96,13.924,1676.0,1684.0,1.224,122.0,148.0
1645753067.85,120.97,13.815,1663.0,1671.0,1.218,121.0,147.0
1645753067.95,121.15,13.936,1680.0,1688.0,1.232,123.0,149.0
1645753068.05,120.99,13.812,1663.0,1671.0,1.23,122.0,149.0
1645753068.15,120.98,13.908,1674.0,1683.0,1.247,124.0,151.0
1645753068.25,120.99,13.833,1666.0,1674.0,1.232,123.0,149.0
1645753068.35,120.97,13.948,1679.0,1687.0,1.242,124.0,150.0
1645753068.45,120.99,13.837,1666.0,1674.0,1.239,123.0,150.0
1645753068.55,121.0,13.871,1670.0,1678.0,1.243,123.0,150.0
1645753068.65,121.17,13.89,1675.0,1683.0,1.239,124.0,150.0
1645753068.75,120.97,13.934,1678.0,1686.0,1.252,124.0,151.0
1645753068.85,120.98,13.815,1663.0,1671.0,1.283,128.0,155.0
1645753068.95,120.98,13.92,1676.0,1684.0,1.302,129.0,157.0
1645753069.05,120.98,13.828,1665.0,1673.0,1.286,128.0,156.0
1645753069.15,120.97,13.937,1678.0,1686.0,1.298,129.0,157.0
1645753069.25,120.98,13.795,1661.0,1669.0,1.279,127.0,155.0
1645753069.35,120.96,13.974,1682.0,1690.0,1.286,128.0,156.0
1645753069.45,121.15,13.857,1671.0,1679.0,1.269,126.0,154.0
1645753069.55,120.97,13.927,1676.0,1685.0,1.275,127.0,154.0
1645753069.65,120.98,13.826,1665.0,1673.0,1.259,125.0,152.0
1645753069.75,120.96,13.9,1673.0,1681.0,1.261,126.0,153.0
1645753069.85,120.97,13.839,1666.0,1674.0,1.254,125.0,152.0
1645753069.95,120.98,13.978,1683.0,1691.0,1.263,125.0,153.0
1645753070.05,120.94,14.235,1713.0,1722.0,1.259,125.0,152.0
